,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,above_cloud,tenkan_kiju_cross,buy,Long_Position,Long_Buy,Long_Sell,sell,Short_Position,Short_Sell,Short_buy,RSI2
0,2021-04-29 09:00:00+02:00,,,,,,,,,,,620.0,0,,,, , ,,, , ,
1,2021-04-29 14:00:00+02:00,645.0,646.5,643.5,646.5,646.5,0.0,,,,,619.5,0,,,, , ,,, , ,
2,2021-04-29 15:00:00+02:00,644.5,646.5,640.5,643.0,643.0,4848.0,,,,,632.5,0,,,, , ,,, , ,
3,2021-04-29 16:00:00+02:00,642.5,642.5,639.0,639.5,639.5,3928.0,,,,,631.0,0,,,, , ,,, , ,
4,2021-04-30 09:00:00+02:00,638.0,639.5,628.0,630.5,630.5,12080.0,,,,,631.5,0,,,, , ,,, , ,
5,2021-04-30 10:00:00+02:00,629.0,632.0,625.5,629.5,629.5,18156.0,,,,,629.0,0,,,, , ,,, , ,
6,2021-04-30 11:00:00+02:00,629.0,632.0,627.0,629.0,629.0,11167.0,,,,,629.0,0,,,, , ,,, , ,
7,2021-04-30 12:00:00+02:00,630.0,630.0,622.5,624.0,624.0,15442.0,,,,,632.0,0,,,, , ,,, , ,
8,2021-04-30 13:00:00+02:00,626.0,627.0,622.5,623.0,623.0,15663.0,,,,,632.0,0,,,, , ,,, , ,
9,2021-04-30 14:00:00+02:00,623.0,624.0,620.5,621.0,621.0,9253.0,633.5,,,,631.5,0,,,, , ,,, , ,
10,2021-04-30 15:00:00+02:00,622.0,624.0,620.0,623.0,623.0,16791.0,633.25,,,,629.0,0,,,, , ,,, , ,
11,2021-04-30 16:00:00+02:00,622.5,624.0,621.5,623.5,623.5,8583.0,631.25,,,,628.0,0,,,, , ,,, , ,
12,2021-05-03 09:00:00+02:00,620.0,624.0,613.5,620.0,620.0,10239.0,626.5,,,,620.5,0,,,, , ,,, , ,
13,2021-05-03 10:00:00+02:00,620.5,622.5,618.0,620.5,620.5,10748.0,622.75,,,,621.5,0,,,, , ,,, , ,
14,2021-05-03 11:00:00+02:00,619.0,621.5,617.5,620.0,620.0,6088.0,622.75,,,,620.0,0,,,, , ,,, , ,
15,2021-05-03 12:00:00+02:00,619.0,620.5,617.5,619.5,619.5,5688.0,621.75,,,,620.5,0,,,, , ,,, , ,9.090909090909093
