Date,Open,High,Low,Close,Adj Close,Volume
2020-11-25,102.0,102.0,101.0,101.0,94.75778198242188,2579
2020-11-26,101.0,102.0,101.0,101.0,94.75778198242188,951
2020-11-27,101.0,102.0,101.0,102.0,95.69597625732422,1810
2020-11-30,102.0,102.0,102.0,102.0,95.69597625732422,0
2020-12-01,102.0,102.0,102.0,102.0,95.69597625732422,0
2020-12-02,101.0,102.0,100.0,100.0,93.81959533691406,927
2020-12-03,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-04,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-07,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-08,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-09,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-10,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-11,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-14,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-15,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-16,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-17,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-18,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-21,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-22,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-23,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-28,100.0,100.0,100.0,100.0,93.81959533691406,0
2020-12-29,102.0,102.0,101.0,102.0,95.69597625732422,228
2020-12-30,100.0,101.0,99.5,101.0,96.77391052246094,5216
2021-01-04,100.0,100.0,99.5,100.0,95.81575012207031,9761
2021-01-05,99.5,100.0,99.5,99.5,95.336669921875,16236
2021-01-06,99.5,100.0,99.0,100.0,95.81575012207031,7520
2021-01-07,100.0,100.0,100.0,100.0,95.81575012207031,774
2021-01-08,100.0,100.0,100.0,100.0,95.81575012207031,8413
2021-01-11,100.0,101.0,100.0,100.0,95.81575012207031,14785
2021-01-12,100.0,100.0,99.5,99.5,95.336669921875,6496
2021-01-13,100.0,100.0,100.0,100.0,95.81575012207031,648
2021-01-14,100.0,100.0,100.0,100.0,95.81575012207031,879
2021-01-15,100.0,100.0,99.5,100.0,95.81575012207031,16809
2021-01-18,100.0,100.0,99.5,100.0,95.81575012207031,6836
2021-01-19,100.0,101.0,99.5,100.0,95.81575012207031,17744
2021-01-20,99.5,100.0,99.5,100.0,95.81575012207031,283
2021-01-21,101.0,101.0,100.0,100.0,95.81575012207031,1018
2021-01-22,100.0,101.0,100.0,101.0,96.77391052246094,960
2021-01-25,100.0,101.0,99.5,100.0,95.81575012207031,12548
2021-01-26,100.0,101.0,100.0,101.0,96.77391052246094,1592
2021-01-27,101.0,101.0,100.0,100.0,95.81575012207031,1250
2021-01-28,100.0,101.0,100.0,101.0,96.77391052246094,559
2021-01-29,100.0,101.0,100.0,100.0,95.81575012207031,277
2021-02-01,100.0,101.0,100.0,101.0,96.77391052246094,3134
2021-02-02,101.0,101.0,101.0,101.0,96.77391052246094,3232
2021-02-03,101.0,101.0,100.0,100.0,95.81575012207031,1331
2021-02-04,100.0,101.0,100.0,101.0,96.77391052246094,363
2021-02-05,100.0,101.0,100.0,101.0,96.77391052246094,71
2021-02-08,101.0,101.0,101.0,101.0,96.77391052246094,3994
2021-02-09,101.0,101.0,101.0,101.0,96.77391052246094,3469
2021-02-10,101.0,102.0,100.0,101.0,96.77391052246094,10554
2021-02-11,101.0,101.0,101.0,101.0,96.77391052246094,3050
2021-02-12,101.0,102.0,101.0,102.0,97.73206329345703,51
2021-02-15,101.0,101.0,101.0,101.0,96.77391052246094,111
2021-02-16,102.0,102.0,101.0,101.0,96.77391052246094,2891
2021-02-17,101.0,101.0,101.0,101.0,96.77391052246094,0
2021-02-18,102.0,102.0,102.0,102.0,97.73206329345703,312
2021-02-19,101.0,101.0,101.0,101.0,96.77391052246094,1625
2021-02-22,101.0,102.0,101.0,102.0,97.73206329345703,1905
2021-02-23,102.0,102.0,101.0,101.0,96.77391052246094,10117
2021-02-24,101.0,101.0,101.0,101.0,96.77391052246094,0
2021-02-25,101.0,102.0,101.0,101.0,96.77391052246094,10062
2021-02-26,101.0,101.0,100.0,101.0,96.77391052246094,2452
2021-03-01,102.0,102.0,100.0,101.0,96.77391052246094,3072
2021-03-02,101.0,102.0,101.0,102.0,97.73206329345703,694
2021-03-03,101.0,102.0,101.0,101.0,96.77391052246094,5165
2021-03-04,102.0,102.0,100.0,101.0,96.77391052246094,9370
2021-03-05,101.0,102.0,100.0,101.0,96.77391052246094,15099
2021-03-08,102.0,102.0,101.0,101.0,96.77391052246094,1705
2021-03-09,101.0,102.0,101.0,101.0,96.77391052246094,3705
2021-03-10,102.0,102.0,102.0,102.0,97.73206329345703,2055
2021-03-11,102.0,102.0,101.0,102.0,97.73206329345703,1853
2021-03-12,102.0,102.0,101.0,101.0,96.77391052246094,6816
2021-03-15,102.0,102.0,101.0,102.0,97.73206329345703,1346
2021-03-16,102.0,102.0,101.0,101.0,96.77391052246094,13465
2021-03-17,102.0,102.0,102.0,102.0,97.73206329345703,1326
2021-03-18,101.0,102.0,101.0,101.0,96.77391052246094,2272
2021-03-19,102.0,102.0,102.0,102.0,97.73206329345703,123
2021-03-22,102.0,102.0,101.0,101.0,96.77391052246094,1889
2021-03-23,102.0,102.0,101.0,101.0,96.77391052246094,1389
2021-03-24,102.0,102.0,101.0,101.0,96.77391052246094,2471
2021-03-25,102.0,102.0,102.0,102.0,97.73206329345703,688
2021-03-26,102.0,102.0,102.0,102.0,97.73206329345703,3085
2021-03-29,102.0,102.0,101.0,102.0,97.73206329345703,1877
2021-03-30,102.0,103.0,102.0,101.0,96.77391052246094,21590
2021-03-31,101.0,101.0,100.0,100.0,97.875,6736
2021-04-06,101.0,101.0,100.0,100.0,97.875,5869
2021-04-07,100.0,101.0,100.0,101.0,98.85375213623047,11238
2021-04-08,101.0,101.0,100.0,101.0,98.85375213623047,17555
2021-04-09,100.0,101.0,100.0,100.0,97.875,39333
2021-04-12,100.0,101.0,100.0,101.0,98.85375213623047,4106
2021-04-13,100.0,101.0,100.0,101.0,98.85375213623047,1463
2021-04-14,101.0,101.0,100.0,101.0,98.85375213623047,3517
2021-04-15,101.0,101.0,100.0,101.0,98.85375213623047,18135
2021-04-16,101.0,101.0,100.0,101.0,98.85375213623047,1280
2021-04-19,101.0,101.0,101.0,101.0,98.85375213623047,1248
2021-04-20,100.0,101.0,100.0,101.0,98.85375213623047,23
2021-04-21,101.0,101.0,101.0,101.0,98.85375213623047,1119
2021-04-22,101.0,101.0,100.0,100.0,97.875,5482
2021-04-23,101.0,101.0,101.0,101.0,98.85375213623047,5440
2021-04-26,101.0,101.0,100.0,101.0,98.85375213623047,2245
2021-04-27,100.0,101.0,100.0,101.0,98.85375213623047,1334
2021-04-28,101.0,101.0,100.0,101.0,98.85375213623047,7441
2021-04-29,101.0,101.0,100.0,101.0,98.85375213623047,2241
2021-04-30,101.0,102.0,100.0,102.0,99.8324966430664,5066
2021-05-03,101.0,102.0,101.0,102.0,99.8324966430664,3378
2021-05-04,102.0,102.0,101.0,101.0,98.85375213623047,1031
2021-05-05,102.0,102.0,101.0,102.0,99.8324966430664,1026
2021-05-06,102.0,102.0,101.0,101.0,98.85375213623047,440
2021-05-07,102.0,102.0,101.0,102.0,99.8324966430664,280
2021-05-10,101.0,102.0,101.0,102.0,99.8324966430664,3959
2021-05-11,102.0,102.0,101.0,101.0,98.85375213623047,435
2021-05-12,101.0,102.0,101.0,101.0,98.85375213623047,3190
2021-05-14,102.0,102.0,101.0,101.0,98.85375213623047,2867
2021-05-18,101.0,102.0,101.0,101.0,98.85375213623047,29849
2021-05-19,101.0,102.0,101.0,102.0,99.8324966430664,4095
2021-05-20,101.0,102.0,100.0,102.0,99.8324966430664,6830
2021-05-21,101.0,102.0,101.0,102.0,99.8324966430664,75
2021-05-25,102.0,102.0,101.0,102.0,99.8324966430664,810
2021-05-26,102.0,102.0,102.0,102.0,99.8324966430664,1107
2021-05-27,101.0,102.0,101.0,101.0,98.85375213623047,1366
2021-05-28,102.0,102.0,101.0,102.0,99.8324966430664,2423
2021-05-31,101.0,101.0,101.0,101.0,98.85375213623047,100
2021-06-01,102.0,102.0,101.0,102.0,99.8324966430664,338
2021-06-02,102.0,102.0,101.0,102.0,99.8324966430664,1559
2021-06-03,102.0,102.0,102.0,102.0,99.8324966430664,3123
2021-06-04,102.0,102.0,102.0,102.0,99.8324966430664,1572
2021-06-07,102.0,103.0,101.0,101.0,98.85375213623047,11209
2021-06-08,103.0,103.0,101.0,102.0,99.8324966430664,6260
