2020 ->-142.0999984741211
5PG ->0.0
AASB ->0.0
ABG ->4.77000093460083
ABS ->21.799999237060547
ABT ->-29.050000190734863
ACC ->-18.5049991607666
ACH ->0.0
ACR ->0.0
ADE ->-826.5499877929688
ADS ->-38.60800039768219
AEGA ->-2.9049999713897705
AFG ->-871.5999908447266
AFISH ->0.0
AFK ->308.6000061035156
AGAS ->-50.619998931884766
AGLX ->0.0
AIRX ->8.639999389648438
AKAST ->-5.749999523162842
AKBM ->115.5
AKER ->-1740.6000061035156
AKH ->-26.26000022888184
AKRBP ->0.0
AKSO ->-65.46999835968018
AKVA ->-160.79999542236328
ALNG ->-2.609999895095825
AMSC ->-196.35000228881836
ANDF ->-106.5999984741211
AOW ->0.6450004577636719
AQUA ->10.31000018119812
ARCH ->3.490000009536743
ARCUS ->-114.70000076293945
ARGEO ->0.0
ARR ->-4.25
ASA ->-66.80000305175781
ASTK ->16.0
ATEA ->-32.400001525878906
AURG ->-202.0
AUSS ->258.75
AWDR ->-3.609999179840088
AXXIS ->-0.5910000205039978
AYFIE ->3.2450000047683716
AZT ->-8.950000762939453
B2H ->-43.825000286102295
BAKKA ->1277.0
BALT ->0.0
BCS ->0.0
BELCO ->-8.25
BEWI ->0.14999961853028054
BGBIO ->4.590000152587891
BMA ->27.800000190734863
BONHR ->-17.5
BOR ->-1.5999984741210938
BORR ->7.349999904632568
BOUV ->-62.949997901916504
BRA ->1.3199996948242188
BRG ->-387.25001525878906
BSP ->0.0
BWE ->13.214000701904297
BWEK ->0.0
BWIDL ->46.0
BWLPG ->-43.480003356933594
BWO ->-159.54999923706055
CADLR ->33.840003967285156
CAMBI ->0.0
CARA ->17.25
CIRCA ->25.4950008392334
CLOUD ->29.54800033569336
CONTX ->-2.9260005950927734
CRAYN ->0.0
CSAM ->0.5999984741210938
CSS ->0.0
CYVIZ ->-98.79999923706055
DLTX ->0.0
DNB ->0.0
DNO ->-21.1729998588562
DOF ->-3.044000029563904
DSRT ->28.342000007629395
DVD ->0.0
EAM ->-42.8100004196167
ECIT ->-8.49899959564209
ECO ->0.0
EFUEL ->84.13999938964844
EIOF ->-10.719999551773071
ELABS ->189.8000030517578
ELIMP ->3.0999984741210938
ELK ->-8.060001373291016
ELOP ->6.229999542236328
EMGS ->-1.3540000319480896
ENDUR ->-1.9749999046325684
ENTRA ->-149.8000030517578
EPR ->-19.170001983642578
EQNR ->269.8999938964844
EXTX ->28.0
FJORD ->-159.49999618530273
FKRFT ->69.8499984741211
FLNG ->66.43001174926758
FLYR ->5.494999885559082
FRO ->-129.01000213623047
FROY ->0.0
GEM ->0.0
GENT ->-0.20000076293945312
GIG ->-14.950000286102295
GJF ->-777.6500091552734
GNP ->29.5
GOD ->-32.90000009536743
GOGL ->15.170001983642578
GRONG ->-1.0
GSF ->81.35000610351562
GYL ->-472.0
HAFNI ->-0.18000030517578125
HAV ->0.0
HAVI ->-0.7699999809265137
HBC ->-5.140000343322754
HDLY ->-6.678000450134279
HELG ->-374.0
HEX ->-137.27000045776367
HMONY ->0.0
HOC ->21.5
HPUR ->0.0
HRGI ->0.0
HSPG ->122.0
HUDL ->10.60099983215332
HUNT ->6.235000133514404
HYARD ->21.019999742507935
HYN ->0.0
HYPRO ->-109.36999702453613
ICEGR ->0.14999961853027344
IDEX ->-6.5269999504089355
IFISH ->88.5999984741211
INDCT ->38.999999046325684
INFRO ->39.79999923706055
INSR ->-12.110999703407288
INSTA ->-3.302000045776368
IOX ->3.312999963760376
ISLAX ->-116.0
ITERA ->0.4499998092651367
IWS ->-35.01499557495117
JAREN ->0.0
JIN ->-11.459999561309814
KAHOT ->232.20000457763672
KAL ->76.80000114440918
KCC ->-10.800003051757812
KID ->-208.50000381469727
KING ->-24.700000762939453
KIT ->-32.80000209808349
KMCP ->-7.200000286102295
KOA ->60.41499996185303
KOG ->601.2000122070312
KOMP ->-13.769999504089355
KRAB ->25.199999809265137
KYOTO ->0.0
LIFE ->9.949999809265137
LINK ->50.0099983215332
LSG ->-264.39999771118164
LSTSB ->0.0
MEDI ->-128.5
MGN ->-145.90999841690063
MING ->115.0
MNTR ->0.0
MORG ->-26.0
MOWI ->-650.6499938964844
MPCC ->-7.729998826980591
MPCES ->0.0
MRCEL ->-22.739999771118164
MSEIS ->-6.172999978065491
MULTI ->-156.3000030517578
MVW ->0.0
MWTR ->5.369998931884766
NANOV ->0.0
NAPA ->-2.860000133514397
NAS ->147.19400119781494
NATTO ->-24.600000381469727
NAVA ->-61.100000381469734
NCOD ->123.0
NEL ->-60.72999954223633
NEXT ->-13.495000123977661
NHY ->-79.29000091552734
NISB ->0.0
NKR ->-31.709999918937683
NOAP ->0.0
NOC ->0.0
NOD ->96.99999237060547
NODL ->-78.27000093460083
NOFI ->-198.3000030517578
NOHAL ->27.89999961853028
NOL ->-20.979999542236328
NOM ->-16.734999895095825
NONG ->168.6999969482422
NOR ->-158.8000030517578
NORBT ->0.14999961853027344
NORDH ->0.0
NORSE ->20.895000457763672
NORTH ->-5.950000047683716
NPRO ->-18.84999942779541
NRC ->11.78000259399414
NRS ->938.9225616455078
NSKOG ->64.2549991607666
NSOL ->0.0
NTEL ->-23.0
NTI ->0.0
NTS ->100.5
NUMND ->38.5
OBSRV ->-15.949999809265137
OCY ->-45.20000076293945
ODF ->-83.29999923706055
ODFB ->-15.0
ODL ->-21.220001220703125
OET ->4.700000762939453
OHT ->19.100000381469727
OKEA ->-14.399999618530272
OLT ->-486.59999084472656
ORK ->-283.86000061035156
ORN ->-0.6000003814697283
OSUN ->-40.70000076293945
OTEC ->31.349998474121094
